File Name,Hash MD5,Hash SHA1,Directory Found,File Type,First 50-bytes of the Magic Numbers
File018,5bd7a1b4904acc6280e2c1924a627860,2881a4e443a0aab7839bdf5647e9438afbe8bf24,E:\Users\dchoi\Documents\File,PDF,25 50 44 46 2D 31 2E 35 0A 25 F6 E4 FC DF 0A 31 20 30 20 6F 62 6A 0A 3C 3C 0A 2F 54 79 70 65 20 2F 43 61 74 61 6C 6F 67 0A 2F 50 61 67 65 73 20 32 20
File022,dc76bac39b0b05024c5dc4e167430170,994bddfd345637ae2abcdd587fe884ccee627104,E:\Users\dchoi\Documents\File,PDF,25 50 44 46 2D 31 2E 37 0A 25 F6 E4 FC DF 0A 31 20 30 20 6F 62 6A 0A 3C 3C 0A 2F 50 61 67 65 73 20 32 20 30 20 52 0A 2F 54 79 70 65 20 2F 43 61 74 61
File066,597122e0437a3753b00487694f30de80,a99f8441c9dc40ce170c0b7e129caff0ee4206ea,E:\Users\dchoi\Documents\File,PDF,25 50 44 46 2D 31 2E 37 0A 25 E2 E3 CF D3 0A 36 20 30 20 6F 62 6A 0A 3C 3C 2F 46 69 6C 74 65 72 2F 46 6C 61 74 65 44 65 63 6F 64 65 2F 4C 65 6E 67 74
File084,0003f23eb36cf0145bb82e108295b143,c514b8f17c465ef3d259d44ba6af4295b568f802,E:\Users\dchoi\Documents\File,PDF,25 50 44 46 2D 31 2E 33 0A 25 E2 E3 CF D3 0A 31 20 30 20 6F 62 6A 0A 3C 3C 0A 2F 54 79 70 65 20 2F 50 61 67 65 73 0A 2F 43 6F 75 6E 74 20 33 33 0A 2F
File103,1f6d1bba0572b67079ce8b19f66377f4,310d4f9892781915a9b1a06be70a145e13089b8a,E:\Users\dchoi\Documents\File,PDF,25 50 44 46 2D 31 2E 34 0A 25 F6 E4 FC DF 0A 31 20 30 20 6F 62 6A 0A 3C 3C 0A 2F 54 79 70 65 20 2F 43 61 74 61 6C 6F 67 0A 2F 56 65 72 73 69 6F 6E 20
File114,9b702a3a329410a22d2877816ece84c5,83e2b181ad279115050e23bce261ddd082f1b650,E:\Users\dchoi\Documents\File,PDF,25 50 44 46 2D 31 2E 33 0A 25 E2 E3 CF D3 0A 31 20 30 20 6F 62 6A 0A 3C 3C 0A 2F 54 79 70 65 20 2F 50 61 67 65 73 0A 2F 43 6F 75 6E 74 20 32 30 0A 2F
File123,bd0ea60d14eea5566361109dc08af4ae,e84d7eedce3c34193739ab5f41af545a56467971,E:\Users\dchoi\Documents\File,PDF,25 50 44 46 2D 31 2E 35 0D 0A 25 B5 B5 B5 B5 0D 0A 31 20 30 20 6F 62 6A 0D 0A 3C 3C 2F 54 79 70 65 2F 43 61 74 61 6C 6F 67 2F 50 61 67 65 73 20 32 20
File129,321ae2c8ccc6a16073c16910ec598891,c0ec1fdf59c40d422a2fc1d63bc7fb23c845db7a,E:\Users\dchoi\Documents\File,PDF,25 50 44 46 2D 31 2E 33 0A 25 E2 E3 CF D3 0A 31 20 30 20 6F 62 6A 0A 3C 3C 0A 2F 54 79 70 65 20 2F 50 61 67 65 73 0A 2F 43 6F 75 6E 74 20 31 39 0A 2F
File132,d0787c3ca7aab644472e1a015c23597c,7c0efa4720977994df80da127d1f3fd7f278d197,E:\Users\dchoi\Documents\File,PDF,25 50 44 46 2D 31 2E 36 0D 25 E2 E3 CF D3 0D 0A 34 33 31 20 30 20 6F 62 6A 0D 3C 3C 2F 4C 69 6E 65 61 72 69 7A 65 64 20 31 2F 4C 20 35 38 38 31 35 32
File135,14ca718fd2c6718e4a31472da950627a,363e3fb566ee15d4f4a5c35ceefbd5d1a5343f03,E:\Users\dchoi\Documents\File,PDF,25 50 44 46 2D 31 2E 37 0D 25 E2 E3 CF D3 0D 0A 31 20 30 20 6F 62 6A 0A 3C 3C 2F 41 63 72 6F 46 6F 72 6D 20 35 20 30 20 52 2F 4C 61 6E 67 28 65 6E 29
File138,302b502d4e62ce9364d06014e544c095,418baca3e862279dd832d4489d6a82d8665168ba,E:\Users\dchoi\Documents\File,PDF,25 50 44 46 2D 31 2E 37 0A 25 E2 E3 CF D3 0A 31 20 30 20 6F 62 6A 0A 3C 3C 2F 43 6F 6C 6F 72 53 70 61 63 65 2F 44 65 76 69 63 65 47 72 61 79 2F 53 75
File156,8e984f349c1855d2ac331a822f548ddd,a8a0da335bc884d7c7314719036f326c92233995,E:\Users\dchoi\Documents\File,PDF,25 50 44 46 2D 31 2E 37 0A 25 F6 E4 FC DF 0A 31 20 30 20 6F 62 6A 0A 3C 3C 0A 2F 54 79 70 65 20 2F 43 61 74 61 6C 6F 67 0A 2F 50 61 67 65 73 20 32 20
File182,adc7a2cddbfa9080df9a9bce33153410,7774fd6a224c351c149d5db71d5c40fcfa762bf1,E:\Users\dchoi\Documents\File,PDF,25 50 44 46 2D 31 2E 34 0D 25 E2 E3 CF D3 0D 0A 31 32 31 33 20 30 20 6F 62 6A 0D 3C 3C 2F 4C 69 6E 65 61 72 69 7A 65 64 20 31 2F 4C 20 34 39 30 38 36
File199,fd3900a6c106515c2db20b09720c7b3d,cf4cfbf3c7f8db99bedb4b58242b5a93f2e24408,E:\Users\dchoi\Documents\File,PDF,25 50 44 46 2D 31 2E 37 0D 0A 25 B5 B5 B5 B5 0D 0A 31 20 30 20 6F 62 6A 0D 0A 3C 3C 2F 54 79 70 65 2F 43 61 74 61 6C 6F 67 2F 50 61 67 65 73 20 32 20
File209,76909cea13b5097b22a7faa800652758,fc407e7e35ab2470cc9228bacc41394a169a6fd5,E:\Users\dchoi\Documents\File,PDF,25 50 44 46 2D 31 2E 33 0A 25 E2 E3 CF D3 0A 31 20 30 20 6F 62 6A 0A 3C 3C 0A 2F 54 79 70 65 20 2F 50 61 67 65 73 0A 2F 43 6F 75 6E 74 20 31 34 0A 2F
